,URL,Description,Title
19,https://phoenix.craigslist.org/evl/gms/d/fountain-hills-moving-sale-saturday-feb/7439981781.html,"Leather electric loveseat, triple door stainless refrigerator, coffee table, end tables, stools, heavy duty fireplace screens, 
Picture frames various sizes, various rugs, 6 dining chairs, office chair,, vacuum sweeper, lamps, 2 leather barstools, 2 cream colored nightstands, 3 large mirrors, set of folding chairs, many decorator pillows in various sizes and colors, white pet gate, 28 inch bifold door, too many items to list all. Cash only.","Moving sale, Saturday, Feb  5-6,  9 am (Fountain Hills, az)"
20,https://phoenix.craigslist.org/evl/gms/d/san-tan-valley-estate-sale/7440599249.html,"Garage/Estate sale
Address: 201 E Mountain View Road San Tan 85143

Date: 2/5 & 2/6 

Tine: 10 AM to 2 PM
   ",Estate Sale (San Tan)
21,https://phoenix.craigslist.org/cph/gms/d/phoenix-huge-garage-sale/7440598926.html,"We have cleaned out two huge storage lockers with everything imaginable! Come find your treasure for the right price! We have a lot of children's items (clothes, car seats, toys), we have tools, air compressor, work bench, large furniture items (couches, dresser, bed frames), lots of household items, electronics, tv stands, xbox 360, sony tv (32 inch), and much more! 

This coming Saturday (February 5th) and Sunday (February 6th) from 8am until 1pm.",Huge Garage Sale! (Phoenix)
22,https://phoenix.craigslist.org/cph/gms/d/phoenix-huge-garage-sale-tons-of-tools/7440879357.html,"I am a 39 year native AZ, and a contractor that has been in buisiness in the valley for 20 years. There's a ton of tools and camping gear as well as plenty of kids toys and clothes. This is one you won't want to miss.","***HUGE GARAGE SALE*** TONS OF TOOLS, CAMPING, KIDS (12th street and Northern)"
23,https://phoenix.craigslist.org/evl/gms/d/mesa-garage-estate-sale/7440981757.html,"2222 S Yellow Wood,  Feb 5 and 6,  Saturday and Sunday, 11 m to 3 pm.  

Including 1982 Yamaha golf cart, Baldwin electronic baby grand piano, china, misc antiques, entire household. 

Too much to list.

Major crossroads are Baseline and Signal Butte.
   ",Garage/estate. sale (Sunland Springs Mesa)
24,https://phoenix.craigslist.org/evl/gms/d/fountain-hills-garage-sale/7441283401.html,"Huge Garage Sale - Saturday, February 5 & Sunday, February 6 
(8:00 am - 2:00 pm) both days.

Furniture (dining table with 4 chairs) coffee & matching end table, appliances, clothing, dishes, jewelry, rugs, wall art, TV, 
books, magazines and much more!
   ",Garage Sale (Fountain Hills)
25,https://phoenix.craigslist.org/cph/gms/d/fountain-hills-garage-sale-saturday/7441282935.html,"HUGE SALE - Saturday & Sunday - Feb 5-6

Furniture, Appliances, Clothes, Jewelry, dishes, wall art, rugs, TV and much more!
   ",Garage Sale / Saturday  & Sunday Feb 5-6 (Fountain Hills)
26,https://phoenix.craigslist.org/nph/gms/d/fountain-hills-garage-sale-saturday/7441286381.html,"Huge Sale - Furniture, appliances, clothes, dishes, jewelry, rugs, wall art, TV and much more!",Garage Sale - Saturday & Sunday - Feb 5-6 (Fountain Hills)
27,https://phoenix.craigslist.org/wvl/gms/d/fountain-hills-garage-sale-saturday/7441287769.html,"Huge Sale - Furniture, appliances, dishes, clothes, jewelry, wall art, rugs, TV and much more",Garage Sale / Saturday  & Sunday Feb 5-6 (Fountain Hills)
28,https://phoenix.craigslist.org/cph/gms/d/casa-grande-huge-multi-family-yard-sale/7441393503.html,"EPIC Yard Sale!!
Household items
Vacuums (Dyson,  Shark)
New Shower doors
Electronics
Tools
Yard tools
Computer parts
Car parts
Clothes
Designer sun glasses $1.00-$3.00
Much, much more - too much to list!!

613 W. Judi Drive
Casa Grande, AZ 85122
   ",HUGE Multi-family YARD SALE (CASA GRANDE)
29,https://phoenix.craigslist.org/evl/gms/d/casa-grande-yard-garage-sale/7441393211.html,"Sat 2/5 8am-1pm. Sun 2/6 9am-12pm. Lots of good stuff and great prices. RV, bike racks, yard, tools, furniture, decor, household, office and lots of misc items. Something for everyone!
1536 E Fontana Dr, Casa Grande.  Major intersection McCartney and Peart. No early sales.
   ",Yard / Garage Sale (Casa Grande)
30,https://phoenix.craigslist.org/nph/gms/d/carefree-garage-estate-sale/7441459675.html,"Silver, crystal, China, glassware, flatware, new and gently used small appliances, floor scrubbers, clothing, yard furniture, collectibles, games, books, child’s drum set, Corningware, juicers, serving platters, dishware, and lots of other never used items. Must see!",Garage/Estate Sale (Scottsdale)
31,https://phoenix.craigslist.org/cph/gms/d/phoenix-garage-sale-sat-feb-at-7am/7441453957.html,"Getting ready for a garage sale this weekend, starting Saturday at 7am. Lots of stuff to sell.

Men's and women's clothing, shoes, household items, jewelry, books, tools, and more.
   ",Garage Sale Sat Feb 5 at 7am (Loma Linda)
32,https://phoenix.craigslist.org/evl/gms/d/gilbert-moving-sale/7441595167.html,"Selling Toys, tables, clothes, shoes, home decor, name brand purses, etc. Sat. 7am-10am

1314 e Princeton ave.
   ",Moving sale!! (GILBERT)
33,https://phoenix.craigslist.org/nph/gms/d/phoenix-moving-sale-garage-sale-art/7438988751.html,"Art supplies:  Many Floater/Illusion frames, photo papers, matt board cut for 16x20, brushes, Digital Rebel XTi camera with 3 lenses,  photo filters, Logan matt board cutter, fine art print papers (all sizes), Breathing Color 17"" partial rolls.  Wooden easels, 36"" roll fine art paper. Large wooden (real) frames 22x29....1 Black and 1 Gray.  Supply of oil pastels  Lots of games, tools, table saw .  Solid brass lamp.  Outdoor planters, pots, saucers, ect.  SUNDAY ONLY: FREE MATT BOARD..

Open Saturday and Sunday from 9-1...",Moving sale/Garage sale   Art Supplies (North Valley)
34,https://phoenix.craigslist.org/wvl/gms/d/surprise-moving-sale/7435540734.html,"Entire household for sale clothing shoes   Size 8 8.5  women only 
Decor furniture kitchen items all in good condition decor furniture kitchen items all in good condition    Good prices if you buy in bulk

Any information call me  show contact info
 Mary",Moving sale (Greenway park)
35,https://phoenix.craigslist.org/evl/gms/d/apache-junction-tool-sale/7441785841.html,"110 volt stick welder with rods, 3 weed eaters, 1 battery powered, 1 gas with saw, 1 corded, yard blower-vacuum,26"" Schwinn Bicycle, large decorative mirror, 1 large hammer drill with some bits, 1 small hammer drill. and more",Tool Sale (Apache Junction)
36,https://phoenix.craigslist.org/wvl/gms/d/sun-city-west-yard-sale/7441771285.html,"I am having a yard sale Saturday, February 5, and February 6, I will be open from 8 am til 4 pm. I have weights, clothes, dishes, videos and cds. I hope to see you this weekend",yard sale (sun city)
37,https://phoenix.craigslist.org/wvl/gms/d/surprise-yard-sale-on-195th-ave/7441903217.html,"This SAT & SUN Only 2/5 & 2/6
8AM - 2PM

27601 N 195th Ave. Wittmann AZ 85361

1 Mile North of Surprise

BIG DISCOUNTS most items 20-80% Off retail

HUGE sale something for everyone, some used, some new

✅Brand New Load of Kitchen items just came in and are now for sale. Rachel Ray Cookware Sets, Air Fryer, Bread Maker, Rice Cooker and SOOOO much more.

✅Tools & Tool accessories

✅Personal care (Toilet Paper, Hand Sanitizer, Soap, Hair Care, Body Wash, Toothpaste and toothbrushes, Laundry Soap)

✅DVD's & Blurays starting at $1

✅Household Items Kitchen items

✅cellphone accessories, bluetooth speakers & headphones, Cables, holders, cases.

✅Hand made crafts, crafting/scrapbooking items and DIY craft kits/Kids craft kits

✅Lawn Care Tools and supplies Weed Wackers (Gas, Battery & Electric) Chainsaws, Blowers (Gas & Battery)

✅Light Fixtures & Light Bulbs

✅LOTS OF TOYS, Star Wars items, Disney, Frozen & MORE

✅Clothes 

AND SOOOOOO MUCH MORE 

We have gotten in a TON of new items over the last week come down and check it out.

#ShopLocal

Items in pictures are from a recent sale. If something specific interests you and you want to see if we still have the item then please send us a message. Some of the items pictured may have already been sold. Pictures are used a reference for the types of products we typically have.",Yard Sale on 195th Ave (Wittmann)
38,https://phoenix.craigslist.org/wvl/gms/d/glendale-estate-moving-garage-sale/7441943917.html,"Sat-Sun 7am-2pm 

Toy collectors, book enthusiasts, collectible lovers estate and moving sale. We have furniture, art, collectibles, toys, kitchen, bedroom, and living room things, cooking and baking, star wars, baseball, basketball, soccer, hockey, pokemon, yugioh, magic the gathering cards, trading cards, games, batman, marvel, dc, horror, pop culture, iconic figures, G I Joe, dvds, xbox, wii, playstation, ps2, ps3, ps4, microsoft, imac, mac, apple, computers, mice, keyboards, records, vinyl, funko pops, sega, disney, mickey, VHS, 8 track, jewelry, silver, christmas, holidays, ornaments, shoes, nike, jordans, china, stereo, speakers, storage, organization, mirrors, hot wheels, cars, parts, deadpool, thanos, noritake, harry potter, paris, french, france decor, decorations, chairs, bar, stools, books, bookcases, buffet, media center, pottery barn, snowmen, snowman, peanuts, kiss, rae dunn, glassware, glasses, silverware, flatware, plates, bowls, utensils, plastic, metal, desks, appliances, pans, pots, casserole dishes, cocettes, pet stuff, dogs, trains, designer clothes, gaming consoles, ET, aliens, nerf, nerf guns, mandalorian, tables, bed platforms, sports, medicine, balls, robot cleaners, retro, vintage, bobbleheads, coin banks, helmet, turbo man, chucky, pillsbury, RC, remote control, gym, fitness, spanish, latina, latino, latinx, james bond, 1950s, 1960s, 1970s, 1980s, 1990s, 2000s, 2010s, 2020s, botas, comics, comic books, zapatos, nintendo, ds, dbz, dragonball z, doctor who, power rangers, venomized, figpins, dolls, action figures, baby yoda, the child, the asset, grogu, camera, flash, barry allen, dallas comicon, SDCC, new york comicon, SNES, NES, boba fett, tinkerbell, captain america, iron man, avengers, tamagachi, barbie, canvas, frames, mary kay, antiques, kegarator, vase, lamps, figurines, statues, halo, hello kitty, noel, mason, black series, secretary, cardinals, coyotes, asu, vgk, vegas golden knights, clemson, hutch, displays, cabinets, commerical displays, toolbox, tools, printer, mechanic, office, car parts, accessories, outdoor, camping, car radio, grill, cowboy, ice cream makers, dresses, pants, shorts, socks, hats, scarf, scarves, mcdonalds, burger king, simpsons, spongebob, LOTR, pianolo, piano, clown, roku, nook, adventure time, digimom, ready player one, 101, ioi, EA, anime, cartoons, genesis, gay, pride, porcelein, porcelien, flashlight, plants, flowers, jade, soapstone, chinese, oriental, stuff.",Estate Moving Garage Sale (Glendale)
39,https://phoenix.craigslist.org/nph/gms/d/phoenix-big-yard-sale/7441949529.html,"LOTS OF HOUSEHOLD STUFF
NICE DEIGN CLOTHES 6 TO 16 LADIES
MENS  CLOTHES LARGE
YARD AND GARDENING 
DISPLAY RACK
SOFA
WOOD DESK WITH CABINET
FRUIT PICKER
NICE KNITTING YARNS NEEDLS AND CRAFT BOOKS
LOTS OF BOOKS
TOOLS
ETC ETC COME SEE
9- 5 SAT AND SUNNDAY",BIG YARD SALE (15872 N 18TH  ST)
40,https://phoenix.craigslist.org/nph/gms/d/phoenix-low-prices-furniture-bikes/7441856656.html,"Saturday AND Sunday

Furniture, Bikes, Electronics, Tools, Kitchen...

...Hockey Equipment, clothes, books, garden, and anything a family might need!

10am-2pm","LOW PRICES - Furniture, Bikes, Electronics, Tools, Kitchen, and MORE (Phoenix)"
41,https://phoenix.craigslist.org/wvl/gms/d/litchfield-park-tools/7441910224.html,"All kinds of tools: screw drivers, wrenches, players, ac welder with mig, cement mixer, welder on a cart, sheet metal hand tools, yard tools, hand tools.  Coffee table end tables, lots of cabinets, Zane gray books, Louie Lahore books (80 or more) all books sold as a collection. some household items. Table saw, oxygen tank carts for medical use, wheel chair. Men shirts and shoes. 
Cash only, sold as is, no warranty implied or given. 
No early birds please.
   ",Tools (Camelback and 195th)
42,https://phoenix.craigslist.org/evl/gms/d/chandler-huge-estate-sale/7441218196.html,"Estate Sale – Sun Lakes - Massive (1,000’s of items)
26449 S Greencastle Dr, Sun Lakes, AZ 85248
February 4, 5 and 6; Friday and Saturday 8 -2. NO early birds. We will not open until 8.
Lots of collectables, clothing, Christmas decorations, household items, and furniture.  Collections: miniature clocks, bells, exotic hats from around the world, wood walking sticks, Wheaton bottles, labware, crosses, silver coins, jewelry, rubber stamps.
Large selection (over 500) of new/nearly-new women’s shirts, sweaters, wraps and jackets (mostly from Macy’s); sizes Large thru XXXL.
Arts and Crafts: over 600 rubber stamps and associated items, rolls of premium gift-wrapping paper.
Kitchen items: vintage Corningware, Pyrex and Tupperware, glassware, antique teacups/saucers.
Furniture: couches, tables, chairs, bedroom sets, desks, folding tables, wood clocks.
Medical equipment (hoyer lift, hospital bed, walkers).
Luggage.
Come make us an offer!",Huge Estate Sale (Sun Lakes)
43,https://phoenix.craigslist.org/nph/gms/d/phoenix-garage-sale/7442021034.html,"Today Saturday the 4th and tomorrow Sunday the 5th 
we’ll be selling valentine’s Day jewelry, lab created diamonds with plated silver￼￼ rings 
Between the prices for 5, 15, and 25 
Among different types of bracelets and necklaces 

We also have a bunch of other items as well 
So please come down and check out we got to offer, thank you. 

Location: 11617 n 25th ave 85029.
   ",Garage Sale (Phoenix)
44,https://phoenix.craigslist.org/nph/gms/d/scottsdale-furniture/7442055189.html,"Patio furniture, sofas, tables, bedrooms",Furniture (Scottsdale)
45,https://phoenix.craigslist.org/cph/gms/d/phoenix-51st-street-thomas/7442057690.html,"Yard sale on 51 st! Street! 2824 n 51st street7:00am. Satuday and Sunday 7 am -1 pm. Snowboards, skateboards, longboards, foosball table, tools, pachinco machine, tools, dvd, cds,records, record players, magazines, books, toys and fun stuff!",51st street/ Thomas (Phoenix)
46,https://phoenix.craigslist.org/wvl/gms/d/phoenix-huge-sale-furniture-and-more/7442039372.html,"King size bed $150, white dresser $150. Brown dresser $30, dinning table $150, black desk $25, black end table $25, oversized chair $50, clothing name brands Chico, banana republic and more $1 ea lots of dollar items",Huge sale Furniture and more (Phoenix)
47,https://phoenix.craigslist.org/cph/gms/d/phoenix-yard-sale/7441605118.html,Big sale Saturday and Sunday 9am to 4pm 4502 n 18th ave. Too much to list. Come take a look.,>>>>>YARD SALE<<<<< (Phoenix)
48,https://phoenix.craigslist.org/cph/gms/d/phoenix-big-sale/7441607462.html,"Yard sale Saturday and Sunday 2/5 -2/6. 4502 n 18th Ave. Phx 85015. Rocks (mineral and fossil specimens, lapidary rough), collectibles, Star Wars figures, electronics, clothes, house hold items and so much more. Must come take a look.",>>>>>BIG SALE<<<<< (Phoenix)
49,https://phoenix.craigslist.org/nph/gms/d/phoenix-moving-sale/7442077492.html,"Need to sell so much, I'm a hoarder and have lots to go: pool table, tools pinball machine, sport trading cards, baby clothes, ride on toys, toys, and so much more needs to go tell me what you are looking for and I probably can dig it out. Many vintage items also. Come by and take a look. Come by or text me to find out more detail.  show contact info
",Moving sale (Phoenix)
50,https://phoenix.craigslist.org/nph/gms/d/phoenix-update-on-moving-sale/7441602431.html,"Due to unforseen circumstances we had to do the sale just tomorrow I'll post more pics and I can call .e Multi family garage sale. Or I guess you can call it s moving sale.... Lots of furniture, including baby stuff.... Household items, antiques, designer purses(real no fakes) electronic s tools, toys,clothes. Come check us out just south of Sharon on 20th st. Text me if you want to come early and get first dibs",Update on moving sale (Phoenix Sharon and cavecreek)
51,https://phoenix.craigslist.org/wvl/gms/d/laveen-yard-sale/7442214708.html,Yard Sale!! 4818 W Samantha Way!!! Will be up until at least 4pm!! Everything Must Go!!!,Yard Sale!! (Laveen)
52,https://phoenix.craigslist.org/wvl/gms/d/phoenix-last-call-for-moving-sale-ps5/7442213807.html,"Last call!  Today till 4pm and tomorrow 10am to 4pm.

Raffle for a 500$ ps5 brand new!

Pokemon cards for cheap! 

Few items left like a mini fridge, 43"" 4k tv, oculus... 

7th st and dobbins. Turn south on 7th st and turn into the las lomitas villas.
   ",Last call for moving sale PS5 raffle and pokemon! (Phoenix)
53,https://phoenix.craigslist.org/evl/gms/d/chandler-not-your-average-garage-sale/7441639532.html,"Saturday Feb. 5th 8AM to 4PM Sunday Feb 6th 9AM to 2PM. N. Chandler. 903 W. Cheyenne Dr. 85225. Major Cross streets Alma School & Elliot. 2 Miles east of 101 freeway. No early arrivals or sales. Cash Only. Lots of quality items. 40"" Plasma TV. land line phones, camera lenses & lens filters, digital camera, misc. cables, & phone cords. Mens shirts, pants, sweaters, belts. DVD movies, Blankets, comforters, Snow booths, size 12,  Lots of glassware, some fine crystal. Raymond Waites Dinnerwear, Blue oriental style dishes. Space heater, lamp, . Small sized pet carrier. And lots more!!  See pictures for details.
Update For Sunday - Items originally listed that sold today have been deleted from the above text. Items may appear in the pictures that are no longer available. Please email with any questons.",Not Your Average Garage Sale - Nice Stuff (Chandler)
54,https://phoenix.craigslist.org/nph/gms/d/phoenix-huge-yard-sale/7441904118.html,"Antiques, collectibles, dishes, antique stoves, gas, wood & electric, clothes and misc stuff…. We’ve been decluttering and have lots of great stuff! 8:00-3:00",Huge yard sale
55,https://phoenix.craigslist.org/evl/gms/d/mesa-estate-sale-everything-must-go/7439610563.html,"Bedroom furnitures, desks, book shelves, kitchen furniture. Many books, kitchen items, cabinets. Like-new full service player organ, dual leather recliner; Much, much more.",Estate Sale-Everything Must Go! (Mesa)
56,https://phoenix.craigslist.org/nph/gms/d/phoenix-massive-garage-sale/7441072021.html,"""Spring,"" cleaning garage sale!!!
This Saturday and Sunday
From 7:00am-3:00pm

Need an address?
Here is an address for a commercial building by our neighborhood:

2302 W Greenway Rd, Phoenix, AZ 85023

We have decided to Marie Kondo our life and be minimalistic.
I have spent months going through our entire house getting rid of things.

Family and friends are bringing in their crap today!
- Entrainment Center (can fit a 65"" TV)
- Theater chairs
- Computer parts
- Car audio system without speakers
- IKEA small table (red top, black legs)
- Target Coffee Table
- Metal/fabric lawn
- Igloo rolling cooler
- Playpen with bassinet and changing station
- Martha Stewart large Pumpkin serving bowl (New in box, never used)
- Lamps
- Computer towers (for parts)
- Accessories
- Shoes
- Jeans
- Dress shirts
- Dresses
- Blouses
- Blazers
- Vests
- Designer Clothing/ Shoes
- Jackets/Coats
- Leather jackets
- Hoodies
- Home decor items vases, faux floral, tablecloths, baskets, pillow cases
- Linnens
- Baking pans (some unused)
- Kitchen items flatware, coasters, utensils
- Michael Kors large gift boxes with ribbons x5 (perfect for storage and gifting)
- Michael Kors gift bags x2 (perfect for storage and gifting)

a LOT of craft supplies...a lot...I really mean A LOT!!
- Wreath bases
- Metal wreath frames
- Holiday picks
- Faux Floral stems Spring, Summer, Fall
- Faux Floral bouquet's Spring, Summer, Fall
- Halloween ribbons, picks, floral, home decor
- Fall garland, floral stems, home decor
- An obnoxious amount of Christmas ribbons, garland, picks, plastic ornaments, home decor",Massive Garage Sale (North Phoenix)
57,https://phoenix.craigslist.org/wvl/gms/d/phoenix-half-off-day-yard-sale/7442172114.html,"Going half off … Sale is in the courtyard! Come on over and Peruse to get the things you can’t do without!
See you there!


Cash only",Half off day!! Yard Sale Multifamily 7thSt & Camelback (St Francis)
